term	definition
antagonistic	The antagonistic muscles are those responsible for pushing as opposed to pulling.
ape inde	x The difference between your arm span and height.
approach shoe	A hybrid between a running shoe and a hiking boot.
arch	The arched middle part of the sole of the foot that lies between the toes and the ankle. Or a steeply overhanging arete.
arete	A protruding rock feature that is formed by the meeting of two planes. The opposite to a corner.
arm bar	A crack climbing technique in which an arm is inserted deep into the crack and secured by pressing the palm of the hand against one wall and the tricep/shoulder against the other.A technique in which a climber jams an arm into a crack and locks it into place.[1]
backstep	A technique in which one foot inside edges while the other outside edges. Similar to a dropknee.
back and foot	A method of climbing chimneys in which the back is pressed against one side while the feet push against the other.
barndoor	An unintentional, uncontrolled rotation away from the rock.
belaying	Paying out or taking in the rope while another climber climbs.
beta	A description of how to climb a specific problem, usually refers to the best (ie. easiest) way.Advice, tips, or general information on how to successfully complete (or protect) a particular climbing route, boulder problem, or crux sequence. Some climbing purists believe that obtaining beta prior to attempting a route "taints" an ascent.
body tension	The ability to keep the feet on their foot holds when climbing steep rock. Core strength and technique are components of body tension.
body position	The position of the body relative to the hand and foot holds.
bolt on	A resin or wood hold that is bolted to the surface of a climbing wall.
boss	A rounded lump protruding from the rock that can be used as a hand hold.
bouldering pad	A rectangular crash mat that consists of multiple layers of foam covered in a heavy duty material. The pad is placed where the climber is expected to fall to cushion their landing (AKA bouldering mat).
bicycle	A technique in which one foot pushes a hold conventionally while the other foot toe hooks the same, or a nearby, hold. Most commonly used when climbing roofs (AKA clamp).A technique used to keep the feet on when climbing on overhangs. One foot is placed on a foothold and the other foot is placed behind the foothold in a toe hook position. The climber can now squeeze the hold between the feet.
break	A horizontal, often rounded, crack.
bridging	Pushing onwards with the hands and/or feet. Usually done in corners or grooves, but can also be done between two protruding holds (AKA stemming).See stemming.
buildering	Bouldering on buildings or other man-made structures.The practice of climbing on buildings, which is often illegal.
bulge	A rounded roof or overhang.
bump	Making two consecutive hand moves with the same hand (AKA going again).A climbing technique wherein a hand or foot is moved to one hold then quickly moved up immediately to a further hold. This is often done over short distances advancing from an inferior hold to a superior one.
buttress	A prominent rock face protruding from a crag.A prominent feature that juts out from a rock or mountain.
callouses	Areas of hard skin that can develop on the fingers or palm.
campus board	A training device that consists of a small overhanging board crossed by wooden rungs at regular intervals. The idea is to climb it without using the feet so as to develop arm and finger strength.Training equipment used to build finger strength and strong arm lock-offs.
campusing	Climbing without using the feet.
centre of gravity	The theoretical point where the entire mass of a body is concentrated (abbreviated to CoG).
